claim_id,candidate_clause,scenario_summary,claim_total,over_cap,receipts,clause_verdict,expected_decision,violated_clause_ids,reasoning,relabel_clause_verdict
C0521,HTL-03,Hotel Fri+Sat nights in Shimla. Justification: 'Client meetings on Friday and Monday; staying over was cheaper than flying back and forth.',3570,FALSE,data/generated/receipts/C0521_L1.jpg,compliant,auto_approve,,HTL-03 allows weekend stays when 'more economical... than returning'; the summary states it was 'cheaper than flying back'.,
C0522,HTL-03,Hotel Fri+Sat nights in Tirupati. Justification: 'Workshop ran late on Friday; stayed back for the Saturday team outing.',3465,FALSE,data/generated/receipts/C0522_L1.jpg,non_compliant,escalate,HTL-03,HTL-03 requires stays to be 'more economical' or driven by 'business needs'; a Saturday team outing meets neither.,
C0523,HTL-03,Hotel Fri+Sat nights in Hosur. Justification: 'Monday 9am meeting; no reasonable Sunday flights.',3255,FALSE,data/generated/receipts/C0523_L1.jpg,compliant,auto_approve,,HTL-03 allows stays when 'business needs require' it; having a Monday 9am meeting with no Sunday flights necessitates staying.,
C0524,HTL-03,Hotel Fri+Sat nights in Udupi. Justification: '(none)',3990,FALSE,data/generated/receipts/C0524_L1.jpg,non_compliant,escalate,HTL-03,HTL-03 requires stays to be 'more economical' or driven by 'business needs'; no justification was provided.,
C0525,HTL-03,Hotel Fri+Sat nights in Alibaug. Justification: 'Client asked for a Saturday site visit.',3885,FALSE,data/generated/receipts/C0525_L1.jpg,compliant,auto_approve,,HTL-03 allows weekend stays when 'business needs require' it; a 'Saturday site visit' is a business need.,
C0526,HTL-03,Hotel Fri+Sat nights in Hosur. Justification: 'Took personal leave Saturday-Sunday; business meeting on Monday.',4305,FALSE,data/generated/receipts/C0526_L1.jpg,non_compliant,escalate,HTL-03,HTL-03 requires stays to be 'more economical' or driven by 'business needs'; personal leave meets neither.,
C0527,ENT-01,"Client entertainment. Attendees: ['Ravi Kumar (Brightpath Consulting, former colleague)']. Purpose: 'Exploring a possible partnership'",2500.06,FALSE,data/generated/receipts/C0527_L1.jpg,compliant,auto_approve,,ENT-01 requires the purpose to 'develop or maintain a business relationship' with clients/prospects.,
C0528,ENT-01,"Client entertainment. Attendees: ['Anita Rao (Northwind Retail)', 'Two Acme team members']. Purpose: 'Client dinner after QBR'",3063.9,FALSE,data/generated/receipts/C0528_L1.jpg,compliant,auto_approve,,"ENT-01 requires attendees, organisations, and business purpose; the claim lists the client, their organisation, and a QBR dinner.",
C0529,ENT-01,Client entertainment. Attendees: ['Candidate: Sanjay M. (interviewing for Acme)']. Purpose: 'Recruitment dinner',2155.66,FALSE,data/generated/receipts/C0529_L1.jpg,non_compliant,escalate,ENT-01,ENT-01 covers hospitality for 'clients or prospective clients'; a recruitment dinner for a candidate does not qualify.,
C0530,ENT-01,"Client entertainment. Attendees: ['Mr. Verma', 'Ms. Iqbal']. Purpose: 'Relationship dinner'",4051.96,FALSE,data/generated/receipts/C0530_L1.jpg,non_compliant,escalate,ENT-01,ENT-01 requires the claim to list all attendees and 'their organisations'; no organisations are provided.,
